"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"HHS Region 1","4 wk ahead","Bin","percent","7.9","8",0
"HHS Region 1","4 wk ahead","Bin","percent","8","8.1",0
"HHS Region 1","4 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 1","4 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 1","4 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 1","4 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 1","4 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 1","4 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 1","4 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 1","4 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 1","4 wk ahead","Bin","percent","8.9","9",0
"HHS Region 1","4 wk ahead","Bin","percent","9","9.1",0
"HHS Region 1","4 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 1","4 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 1","4 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 1","4 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 1","4 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 1","4 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 1","4 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 1","4 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 1","4 wk ahead","Bin","percent","9.9","10",0
"HHS Region 1","4 wk ahead","Bin","percent","10","10.1",0
"HHS Region 1","4 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 1","4 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 1","4 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 1","4 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 1","4 wk ahead","Bin","percent","10.5","10.6",9.99999999999999e-05
"HHS Region 1","4 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 1","4 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 1","4 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 1","4 wk ahead","Bin","percent","10.9","11",0
"HHS Region 1","4 wk ahead","Bin","percent","11","11.1",0
"HHS Region 1","4 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 1","4 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 1","4 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 1","4 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 1","4 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 1","4 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 1","4 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 1","4 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 1","4 wk ahead","Bin","percent","11.9","12",0
"HHS Region 1","4 wk ahead","Bin","percent","12","12.1",0
"HHS Region 1","4 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 1","4 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 1","4 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 1","4 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 1","4 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 1","4 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 1","4 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 1","4 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 1","4 wk ahead","Bin","percent","12.9","13",0
"HHS Region 1","4 wk ahead","Bin","percent","13","100",9.99999999999999e-05
"HHS Region 2","Season onset","Point","week",NA,NA,47
"HHS Region 2","Season onset","Bin","week","40","41",0
"HHS Region 2","Season onset","Bin","week","41","42",0
"HHS Region 2","Season onset","Bin","week","42","43",0
"HHS Region 2","Season onset","Bin","week","43","44",0
"HHS Region 2","Season onset","Bin","week","44","45",0
"HHS Region 2","Season onset","Bin","week","45","46",0
"HHS Region 2","Season onset","Bin","week","46","47",0
"HHS Region 2","Season onset","Bin","week","47","48",1
"HHS Region 2","Season onset","Bin","week","48","49",0
"HHS Region 2","Season onset","Bin","week","49","50",0
"HHS Region 2","Season onset","Bin","week","50","51",0
"HHS Region 2","Season onset","Bin","week","51","52",0
"HHS Region 2","Season onset","Bin","week","52","53",0
"HHS Region 2","Season onset","Bin","week","1","2",0
"HHS Region 2","Season onset","Bin","week","2","3",0
"HHS Region 2","Season onset","Bin","week","3","4",0
"HHS Region 2","Season onset","Bin","week","4","5",0
"HHS Region 2","Season onset","Bin","week","5","6",0
"HHS Region 2","Season onset","Bin","week","6","7",0
"HHS Region 2","Season onset","Bin","week","7","8",0
"HHS Region 2","Season onset","Bin","week","8","9",0
"HHS Region 2","Season onset","Bin","week","9","10",0
"HHS Region 2","Season onset","Bin","week","10","11",0
"HHS Region 2","Season onset","Bin","week","11","12",0
"HHS Region 2","Season onset","Bin","week","12","13",0
"HHS Region 2","Season onset","Bin","week","13","14",0
"HHS Region 2","Season onset","Bin","week","14","15",0
"HHS Region 2","Season onset","Bin","week","15","16",0
"HHS Region 2","Season onset","Bin","week","16","17",0
"HHS Region 2","Season onset","Bin","week","17","18",0
"HHS Region 2","Season onset","Bin","week","18","19",0
"HHS Region 2","Season onset","Bin","week","19","20",0
"HHS Region 2","Season onset","Bin","week","20","21",0
"HHS Region 2","Season onset","Bin","week","none","none",0
"HHS Region 2","Season peak week","Point","week",NA,NA,6
"HHS Region 2","Season peak week","Bin","week","40","41",0
"HHS Region 2","Season peak week","Bin","week","41","42",0
"HHS Region 2","Season peak week","Bin","week","42","43",0
"HHS Region 2","Season peak week","Bin","week","43","44",0
"HHS Region 2","Season peak week","Bin","week","44","45",0
"HHS Region 2","Season peak week","Bin","week","45","46",0
"HHS Region 2","Season peak week","Bin","week","46","47",0
"HHS Region 2","Season peak week","Bin","week","47","48",0
"HHS Region 2","Season peak week","Bin","week","48","49",0
"HHS Region 2","Season peak week","Bin","week","49","50",0
"HHS Region 2","Season peak week","Bin","week","50","51",0
"HHS Region 2","Season peak week","Bin","week","51","52",0
"HHS Region 2","Season peak week","Bin","week","52","53",0
"HHS Region 2","Season peak week","Bin","week","1","2",0
"HHS Region 2","Season peak week","Bin","week","2","3",0
"HHS Region 2","Season peak week","Bin","week","3","4",0
"HHS Region 2","Season peak week","Bin","week","4","5",0
"HHS Region 2","Season peak week","Bin","week","5","6",0
"HHS Region 2","Season peak week","Bin","week","6","7",0.835772833723653
"HHS Region 2","Season peak week","Bin","week","7","8",0
"HHS Region 2","Season peak week","Bin","week","8","9",0
"HHS Region 2","Season peak week","Bin","week","9","10",0
"HHS Region 2","Season peak week","Bin","week","10","11",0
"HHS Region 2","Season peak week","Bin","week","11","12",0
"HHS Region 2","Season peak week","Bin","week","12","13",0
"HHS Region 2","Season peak week","Bin","week","13","14",0
"HHS Region 2","Season peak week","Bin","week","14","15",0
"HHS Region 2","Season peak week","Bin","week","15","16",0
"HHS Region 2","Season peak week","Bin","week","16","17",0.0239071038251366
"HHS Region 2","Season peak week","Bin","week","17","18",0.0247853239656518
"HHS Region 2","Season peak week","Bin","week","18","19",0.0350312256049961
"HHS Region 2","Season peak week","Bin","week","19","20",0.0366900858704137
"HHS Region 2","Season peak week","Bin","week","20","21",0.0438134270101483
"HHS Region 2","Season peak percentage","Point","percent",NA,NA,6.9
"HHS Region 2","Season peak percentage","Bin","percent","0","0.1",0
"HHS Region 2","Season peak percentage","Bin","percent","0.1","0.2",0
"HHS Region 2","Season peak percentage","Bin","percent","0.2","0.3",0
"HHS Region 2","Season peak percentage","Bin","percent","0.3","0.4",0
"HHS Region 2","Season peak percentage","Bin","percent","0.4","0.5",0
"HHS Region 2","Season peak percentage","Bin","percent","0.5","0.6",0
"HHS Region 2","Season peak percentage","Bin","percent","0.6","0.7",0
"HHS Region 2","Season peak percentage","Bin","percent","0.7","0.8",0
"HHS Region 2","Season peak percentage","Bin","percent","0.8","0.9",0
"HHS Region 2","Season peak percentage","Bin","percent","0.9","1",0
"HHS Region 2","Season peak percentage","Bin","percent","1","1.1",0
"HHS Region 2","Season peak percentage","Bin","percent","1.1","1.2",0
"HHS Region 2","Season peak percentage","Bin","percent","1.2","1.3",0
"HHS Region 2","Season peak percentage","Bin","percent","1.3","1.4",0
"HHS Region 2","Season peak percentage","Bin","percent","1.4","1.5",0
"HHS Region 2","Season peak percentage","Bin","percent","1.5","1.6",0
"HHS Region 2","Season peak percentage","Bin","percent","1.6","1.7",0
"HHS Region 2","Season peak percentage","Bin","percent","1.7","1.8",0
"HHS Region 2","Season peak percentage","Bin","percent","1.8","1.9",0
"HHS Region 2","Season peak percentage","Bin","percent","1.9","2",0
"HHS Region 2","Season peak percentage","Bin","percent","2","2.1",0
"HHS Region 2","Season peak percentage","Bin","percent","2.1","2.2",0
"HHS Region 2","Season peak percentage","Bin","percent","2.2","2.3",0
"HHS Region 2","Season peak percentage","Bin","percent","2.3","2.4",0
"HHS Region 2","Season peak percentage","Bin","percent","2.4","2.5",0
"HHS Region 2","Season peak percentage","Bin","percent","2.5","2.6",0
"HHS Region 2","Season peak percentage","Bin","percent","2.6","2.7",0
"HHS Region 2","Season peak percentage","Bin","percent","2.7","2.8",0
"HHS Region 2","Season peak percentage","Bin","percent","2.8","2.9",0
"HHS Region 2","Season peak percentage","Bin","percent","2.9","3",0
"HHS Region 2","Season peak percentage","Bin","percent","3","3.1",0
"HHS Region 2","Season peak percentage","Bin","percent","3.1","3.2",0
"HHS Region 2","Season peak percentage","Bin","percent","3.2","3.3",0
"HHS Region 2","Season peak percentage","Bin","percent","3.3","3.4",0
"HHS Region 2","Season peak percentage","Bin","percent","3.4","3.5",0
"HHS Region 2","Season peak percentage","Bin","percent","3.5","3.6",0
"HHS Region 2","Season peak percentage","Bin","percent","3.6","3.7",0
"HHS Region 2","Season peak percentage","Bin","percent","3.7","3.8",0
"HHS Region 2","Season peak percentage","Bin","percent","3.8","3.9",0
"HHS Region 2","Season peak percentage","Bin","percent","3.9","4",0
"HHS Region 2","Season peak percentage","Bin","percent","4","4.1",0
"HHS Region 2","Season peak percentage","Bin","percent","4.1","4.2",0
"HHS Region 2","Season peak percentage","Bin","percent","4.2","4.3",0
"HHS Region 2","Season peak percentage","Bin","percent","4.3","4.4",0
"HHS Region 2","Season peak percentage","Bin","percent","4.4","4.5",0
"HHS Region 2","Season peak percentage","Bin","percent","4.5","4.6",0
"HHS Region 2","Season peak percentage","Bin","percent","4.6","4.7",0
"HHS Region 2","Season peak percentage","Bin","percent","4.7","4.8",0
"HHS Region 2","Season peak percentage","Bin","percent","4.8","4.9",0
"HHS Region 2","Season peak percentage","Bin","percent","4.9","5",0
"HHS Region 2","Season peak percentage","Bin","percent","5","5.1",0
"HHS Region 2","Season peak percentage","Bin","percent","5.1","5.2",0
"HHS Region 2","Season peak percentage","Bin","percent","5.2","5.3",0
"HHS Region 2","Season peak percentage","Bin","percent","5.3","5.4",0
"HHS Region 2","Season peak percentage","Bin","percent","5.4","5.5",0
"HHS Region 2","Season peak percentage","Bin","percent","5.5","5.6",0
"HHS Region 2","Season peak percentage","Bin","percent","5.6","5.7",0
"HHS Region 2","Season peak percentage","Bin","percent","5.7","5.8",0
"HHS Region 2","Season peak percentage","Bin","percent","5.8","5.9",0
"HHS Region 2","Season peak percentage","Bin","percent","5.9","6",0
"HHS Region 2","Season peak percentage","Bin","percent","6","6.1",0
"HHS Region 2","Season peak percentage","Bin","percent","6.1","6.2",0
"HHS Region 2","Season peak percentage","Bin","percent","6.2","6.3",0
"HHS Region 2","Season peak percentage","Bin","percent","6.3","6.4",0
"HHS Region 2","Season peak percentage","Bin","percent","6.4","6.5",0
"HHS Region 2","Season peak percentage","Bin","percent","6.5","6.6",0
"HHS Region 2","Season peak percentage","Bin","percent","6.6","6.7",0
"HHS Region 2","Season peak percentage","Bin","percent","6.7","6.8",0
"HHS Region 2","Season peak percentage","Bin","percent","6.8","6.9",0
"HHS Region 2","Season peak percentage","Bin","percent","6.9","7",0.8565
"HHS Region 2","Season peak percentage","Bin","percent","7","7.1",0.0057
"HHS Region 2","Season peak percentage","Bin","percent","7.1","7.2",0.0042
"HHS Region 2","Season peak percentage","Bin","percent","7.2","7.3",0.0052
"HHS Region 2","Season peak percentage","Bin","percent","7.3","7.4",0.0049
"HHS Region 2","Season peak percentage","Bin","percent","7.4","7.5",0.0039
"HHS Region 2","Season peak percentage","Bin","percent","7.5","7.6",0.0036
"HHS Region 2","Season peak percentage","Bin","percent","7.6","7.7",0.0045
"HHS Region 2","Season peak percentage","Bin","percent","7.7","7.8",0.0039
"HHS Region 2","Season peak percentage","Bin","percent","7.8","7.9",0.003
"HHS Region 2","Season peak percentage","Bin","percent","7.9","8",0.0035
"HHS Region 2","Season peak percentage","Bin","percent","8","8.1",0.0038
"HHS Region 2","Season peak percentage","Bin","percent","8.1","8.2",0.0027
"HHS Region 2","Season peak percentage","Bin","percent","8.2","8.3",0.0028
"HHS Region 2","Season peak percentage","Bin","percent","8.3","8.4",0.0032
"HHS Region 2","Season peak percentage","Bin","percent","8.4","8.5",0.0023
"HHS Region 2","Season peak percentage","Bin","percent","8.5","8.6",0.0033
"HHS Region 2","Season peak percentage","Bin","percent","8.6","8.7",0.0019
"HHS Region 2","Season peak percentage","Bin","percent","8.7","8.8",0.0028
"HHS Region 2","Season peak percentage","Bin","percent","8.8","8.9",0.002
"HHS Region 2","Season peak percentage","Bin","percent","8.9","9",0.0019
"HHS Region 2","Season peak percentage","Bin","percent","9","9.1",0.002
"HHS Region 2","Season peak percentage","Bin","percent","9.1","9.2",0.0013
"HHS Region 2","Season peak percentage","Bin","percent","9.2","9.3",0.0015
"HHS Region 2","Season peak percentage","Bin","percent","9.3","9.4",0.0021
"HHS Region 2","Season peak percentage","Bin","percent","9.4","9.5",0.0017
"HHS Region 2","Season peak percentage","Bin","percent","9.5","9.6",0.002
"HHS Region 2","Season peak percentage","Bin","percent","9.6","9.7",0.0014
"HHS Region 2","Season peak percentage","Bin","percent","9.7","9.8",0.002
"HHS Region 2","Season peak percentage","Bin","percent","9.8","9.9",0.0025
"HHS Region 2","Season peak percentage","Bin","percent","9.9","10",0.0021
"HHS Region 2","Season peak percentage","Bin","percent","10","10.1",7e-04
"HHS Region 2","Season peak percentage","Bin","percent","10.1","10.2",0.0012
"HHS Region 2","Season peak percentage","Bin","percent","10.2","10.3",0.0017
"HHS Region 2","Season peak percentage","Bin","percent","10.3","10.4",0.0015
"HHS Region 2","Season peak percentage","Bin","percent","10.4","10.5",0.000900000000000001
"HHS Region 2","Season peak percentage","Bin","percent","10.5","10.6",0.000900000000000001
"HHS Region 2","Season peak percentage","Bin","percent","10.6","10.7",7e-04
"HHS Region 2","Season peak percentage","Bin","percent","10.7","10.8",0.0012
"HHS Region 2","Season peak percentage","Bin","percent","10.8","10.9",0.000900000000000001
"HHS Region 2","Season peak percentage","Bin","percent","10.9","11",0.0013
"HHS Region 2","Season peak percentage","Bin","percent","11","11.1",0.0016
"HHS Region 2","Season peak percentage","Bin","percent","11.1","11.2",0.0011
"HHS Region 2","Season peak percentage","Bin","percent","11.2","11.3",0.0015
"HHS Region 2","Season peak percentage","Bin","percent","11.3","11.4",8e-04
"HHS Region 2","Season peak percentage","Bin","percent","11.4","11.5",7e-04
"HHS Region 2","Season peak percentage","Bin","percent","11.5","11.6",0.001
"HHS Region 2","Season peak percentage","Bin","percent","11.6","11.7",0.0016
"HHS Region 2","Season peak percentage","Bin","percent","11.7","11.8",2e-04
"HHS Region 2","Season peak percentage","Bin","percent","11.8","11.9",0.0011
"HHS Region 2","Season peak percentage","Bin","percent","11.9","12",0.001
"HHS Region 2","Season peak percentage","Bin","percent","12","12.1",2e-04
"HHS Region 2","Season peak percentage","Bin","percent","12.1","12.2",1e-04
"HHS Region 2","Season peak percentage","Bin","percent","12.2","12.3",8e-04
"HHS Region 2","Season peak percentage","Bin","percent","12.3","12.4",6e-04
"HHS Region 2","Season peak percentage","Bin","percent","12.4","12.5",3e-04
"HHS Region 2","Season peak percentage","Bin","percent","12.5","12.6",0.001
"HHS Region 2","Season peak percentage","Bin","percent","12.6","12.7",5e-04
"HHS Region 2","Season peak percentage","Bin","percent","12.7","12.8",6e-04
"HHS Region 2","Season peak percentage","Bin","percent","12.8","12.9",6e-04
"HHS Region 2","Season peak percentage","Bin","percent","12.9","13",4e-04
"HHS Region 2","Season peak percentage","Bin","percent","13","100",0.0291
"HHS Region 2","1 wk ahead","Point","percent",NA,NA,3.3
"HHS Region 2","1 wk ahead","Bin","percent","0","0.1",0
"HHS Region 2","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 2","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 2","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 2","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 2","1 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 2","1 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 2","1 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 2","1 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 2","1 wk ahead","Bin","percent","0.9","1",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","1","1.1",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","1.1","1.2",5e-04
"HHS Region 2","1 wk ahead","Bin","percent","1.2","1.3",0.0013
"HHS Region 2","1 wk ahead","Bin","percent","1.3","1.4",0.0016
"HHS Region 2","1 wk ahead","Bin","percent","1.4","1.5",0.0036
"HHS Region 2","1 wk ahead","Bin","percent","1.5","1.6",0.0069
"HHS Region 2","1 wk ahead","Bin","percent","1.6","1.7",0.0091
"HHS Region 2","1 wk ahead","Bin","percent","1.7","1.8",0.0135
"HHS Region 2","1 wk ahead","Bin","percent","1.8","1.9",0.0148
"HHS Region 2","1 wk ahead","Bin","percent","1.9","2",0.0176
"HHS Region 2","1 wk ahead","Bin","percent","2","2.1",0.0211
"HHS Region 2","1 wk ahead","Bin","percent","2.1","2.2",0.0242
"HHS Region 2","1 wk ahead","Bin","percent","2.2","2.3",0.0311
"HHS Region 2","1 wk ahead","Bin","percent","2.3","2.4",0.0325
"HHS Region 2","1 wk ahead","Bin","percent","2.4","2.5",0.0316
"HHS Region 2","1 wk ahead","Bin","percent","2.5","2.6",0.0368
"HHS Region 2","1 wk ahead","Bin","percent","2.6","2.7",0.0335
"HHS Region 2","1 wk ahead","Bin","percent","2.7","2.8",0.0366
"HHS Region 2","1 wk ahead","Bin","percent","2.8","2.9",0.0376
"HHS Region 2","1 wk ahead","Bin","percent","2.9","3",0.0348
"HHS Region 2","1 wk ahead","Bin","percent","3","3.1",0.0359
"HHS Region 2","1 wk ahead","Bin","percent","3.1","3.2",0.0375
"HHS Region 2","1 wk ahead","Bin","percent","3.2","3.3",0.0311
"HHS Region 2","1 wk ahead","Bin","percent","3.3","3.4",0.0302
"HHS Region 2","1 wk ahead","Bin","percent","3.4","3.5",0.0309
"HHS Region 2","1 wk ahead","Bin","percent","3.5","3.6",0.031
"HHS Region 2","1 wk ahead","Bin","percent","3.6","3.7",0.0304
"HHS Region 2","1 wk ahead","Bin","percent","3.7","3.8",0.0271
"HHS Region 2","1 wk ahead","Bin","percent","3.8","3.9",0.022
"HHS Region 2","1 wk ahead","Bin","percent","3.9","4",0.0224
"HHS Region 2","1 wk ahead","Bin","percent","4","4.1",0.0236
"HHS Region 2","1 wk ahead","Bin","percent","4.1","4.2",0.02
"HHS Region 2","1 wk ahead","Bin","percent","4.2","4.3",0.02
"HHS Region 2","1 wk ahead","Bin","percent","4.3","4.4",0.0194
"HHS Region 2","1 wk ahead","Bin","percent","4.4","4.5",0.0151
"HHS Region 2","1 wk ahead","Bin","percent","4.5","4.6",0.0165
"HHS Region 2","1 wk ahead","Bin","percent","4.6","4.7",0.016
"HHS Region 2","1 wk ahead","Bin","percent","4.7","4.8",0.0132
"HHS Region 2","1 wk ahead","Bin","percent","4.8","4.9",0.0127
"HHS Region 2","1 wk ahead","Bin","percent","4.9","5",0.0099
"HHS Region 2","1 wk ahead","Bin","percent","5","5.1",0.0102
"HHS Region 2","1 wk ahead","Bin","percent","5.1","5.2",0.0094
"HHS Region 2","1 wk ahead","Bin","percent","5.2","5.3",0.01
"HHS Region 2","1 wk ahead","Bin","percent","5.3","5.4",0.0083
"HHS Region 2","1 wk ahead","Bin","percent","5.4","5.5",0.0072
"HHS Region 2","1 wk ahead","Bin","percent","5.5","5.6",0.0078
"HHS Region 2","1 wk ahead","Bin","percent","5.6","5.7",0.0069
"HHS Region 2","1 wk ahead","Bin","percent","5.7","5.8",0.0054
"HHS Region 2","1 wk ahead","Bin","percent","5.8","5.9",0.0058
"HHS Region 2","1 wk ahead","Bin","percent","5.9","6",0.0057
"HHS Region 2","1 wk ahead","Bin","percent","6","6.1",0.0047
"HHS Region 2","1 wk ahead","Bin","percent","6.1","6.2",0.0045
"HHS Region 2","1 wk ahead","Bin","percent","6.2","6.3",0.0042
"HHS Region 2","1 wk ahead","Bin","percent","6.3","6.4",0.0033
"HHS Region 2","1 wk ahead","Bin","percent","6.4","6.5",0.0035
"HHS Region 2","1 wk ahead","Bin","percent","6.5","6.6",0.0031
"HHS Region 2","1 wk ahead","Bin","percent","6.6","6.7",0.0025
"HHS Region 2","1 wk ahead","Bin","percent","6.7","6.8",0.0023
"HHS Region 2","1 wk ahead","Bin","percent","6.8","6.9",0.0017
"HHS Region 2","1 wk ahead","Bin","percent","6.9","7",0.0032
"HHS Region 2","1 wk ahead","Bin","percent","7","7.1",0.0025
"HHS Region 2","1 wk ahead","Bin","percent","7.1","7.2",0.0025
"HHS Region 2","1 wk ahead","Bin","percent","7.2","7.3",0.0019
"HHS Region 2","1 wk ahead","Bin","percent","7.3","7.4",0.0018
"HHS Region 2","1 wk ahead","Bin","percent","7.4","7.5",0.0013
"HHS Region 2","1 wk ahead","Bin","percent","7.5","7.6",0.0015
"HHS Region 2","1 wk ahead","Bin","percent","7.6","7.7",0.0016
"HHS Region 2","1 wk ahead","Bin","percent","7.7","7.8",0.0023
"HHS Region 2","1 wk ahead","Bin","percent","7.8","7.9",0.0012
"HHS Region 2","1 wk ahead","Bin","percent","7.9","8",5e-04
"HHS Region 2","1 wk ahead","Bin","percent","8","8.1",0.000900000000000001
"HHS Region 2","1 wk ahead","Bin","percent","8.1","8.2",6e-04
"HHS Region 2","1 wk ahead","Bin","percent","8.2","8.3",8e-04
"HHS Region 2","1 wk ahead","Bin","percent","8.3","8.4",0.000900000000000001
"HHS Region 2","1 wk ahead","Bin","percent","8.4","8.5",0.0012
"HHS Region 2","1 wk ahead","Bin","percent","8.5","8.6",0.0011
"HHS Region 2","1 wk ahead","Bin","percent","8.6","8.7",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","8.7","8.8",6e-04
"HHS Region 2","1 wk ahead","Bin","percent","8.8","8.9",5e-04
"HHS Region 2","1 wk ahead","Bin","percent","8.9","9",5e-04
"HHS Region 2","1 wk ahead","Bin","percent","9","9.1",7e-04
"HHS Region 2","1 wk ahead","Bin","percent","9.1","9.2",6e-04
"HHS Region 2","1 wk ahead","Bin","percent","9.2","9.3",3e-04
"HHS Region 2","1 wk ahead","Bin","percent","9.3","9.4",5e-04
"HHS Region 2","1 wk ahead","Bin","percent","9.4","9.5",4e-04
"HHS Region 2","1 wk ahead","Bin","percent","9.5","9.6",5e-04
"HHS Region 2","1 wk ahead","Bin","percent","9.6","9.7",4e-04
"HHS Region 2","1 wk ahead","Bin","percent","9.7","9.8",0.000900000000000001
"HHS Region 2","1 wk ahead","Bin","percent","9.8","9.9",5e-04
"HHS Region 2","1 wk ahead","Bin","percent","9.9","10",3e-04
"HHS Region 2","1 wk ahead","Bin","percent","10","10.1",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","10.1","10.2",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","10.2","10.3",9.99999999999999e-05
"HHS Region 2","1 wk ahead","Bin","percent","10.3","10.4",4e-04
"HHS Region 2","1 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 2","1 wk ahead","Bin","percent","10.5","10.6",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","10.6","10.7",9.99999999999999e-05
"HHS Region 2","1 wk ahead","Bin","percent","10.7","10.8",4e-04
"HHS Region 2","1 wk ahead","Bin","percent","10.8","10.9",4e-04
"HHS Region 2","1 wk ahead","Bin","percent","10.9","11",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","11","11.1",3e-04
"HHS Region 2","1 wk ahead","Bin","percent","11.1","11.2",9.99999999999999e-05
"HHS Region 2","1 wk ahead","Bin","percent","11.2","11.3",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","11.3","11.4",9.99999999999999e-05
"HHS Region 2","1 wk ahead","Bin","percent","11.4","11.5",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","11.5","11.6",4e-04
"HHS Region 2","1 wk ahead","Bin","percent","11.6","11.7",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 2","1 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 2","1 wk ahead","Bin","percent","11.9","12",9.99999999999999e-05
"HHS Region 2","1 wk ahead","Bin","percent","12","12.1",9.99999999999999e-05
"HHS Region 2","1 wk ahead","Bin","percent","12.1","12.2",9.99999999999999e-05
"HHS Region 2","1 wk ahead","Bin","percent","12.2","12.3",4e-04
"HHS Region 2","1 wk ahead","Bin","percent","12.3","12.4",9.99999999999999e-05
"HHS Region 2","1 wk ahead","Bin","percent","12.4","12.5",9.99999999999999e-05
"HHS Region 2","1 wk ahead","Bin","percent","12.5","12.6",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","12.6","12.7",9.99999999999999e-05
"HHS Region 2","1 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 2","1 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 2","1 wk ahead","Bin","percent","12.9","13",0
"HHS Region 2","1 wk ahead","Bin","percent","13","100",0.0019
"HHS Region 2","2 wk ahead","Point","percent",NA,NA,2.9
"HHS Region 2","2 wk ahead","Bin","percent","0","0.1",0
"HHS Region 2","2 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 2","2 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 2","2 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 2","2 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 2","2 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 2","2 wk ahead","Bin","percent","0.6","0.7",9.99999999999999e-05
"HHS Region 2","2 wk ahead","Bin","percent","0.7","0.8",8e-04
"HHS Region 2","2 wk ahead","Bin","percent","0.8","0.9",5e-04
"HHS Region 2","2 wk ahead","Bin","percent","0.9","1",0.002
"HHS Region 2","2 wk ahead","Bin","percent","1","1.1",0.0034
"HHS Region 2","2 wk ahead","Bin","percent","1.1","1.2",0.006
"HHS Region 2","2 wk ahead","Bin","percent","1.2","1.3",0.0093
"HHS Region 2","2 wk ahead","Bin","percent","1.3","1.4",0.0124
"HHS Region 2","2 wk ahead","Bin","percent","1.4","1.5",0.0134
"HHS Region 2","2 wk ahead","Bin","percent","1.5","1.6",0.018
"HHS Region 2","2 wk ahead","Bin","percent","1.6","1.7",0.0228
"HHS Region 2","2 wk ahead","Bin","percent","1.7","1.8",0.0245
"HHS Region 2","2 wk ahead","Bin","percent","1.8","1.9",0.0288
"HHS Region 2","2 wk ahead","Bin","percent","1.9","2",0.0291
"HHS Region 2","2 wk ahead","Bin","percent","2","2.1",0.0336
"HHS Region 2","2 wk ahead","Bin","percent","2.1","2.2",0.0323
"HHS Region 2","2 wk ahead","Bin","percent","2.2","2.3",0.0318
