"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"HHS Region 2","Season onset","Bin","week","44","45",0
"HHS Region 2","Season onset","Bin","week","45","46",0
"HHS Region 2","Season onset","Bin","week","46","47",0
"HHS Region 2","Season onset","Bin","week","47","48",0
"HHS Region 2","Season onset","Bin","week","48","49",0
"HHS Region 2","Season onset","Bin","week","49","50",0.0048
"HHS Region 2","Season onset","Bin","week","50","51",0.0085
"HHS Region 2","Season onset","Bin","week","51","52",0.0072
"HHS Region 2","Season onset","Bin","week","52","53",0.0021
"HHS Region 2","Season onset","Bin","week","1","2",0.0097
"HHS Region 2","Season onset","Bin","week","2","3",0.0048
"HHS Region 2","Season onset","Bin","week","3","4",0.006
"HHS Region 2","Season onset","Bin","week","4","5",2e-04
"HHS Region 2","Season onset","Bin","week","5","6",2e-04
"HHS Region 2","Season onset","Bin","week","6","7",9.99999999999999e-05
"HHS Region 2","Season onset","Bin","week","7","8",0.0143
"HHS Region 2","Season onset","Bin","week","8","9",0.018
"HHS Region 2","Season onset","Bin","week","9","10",0.0096
"HHS Region 2","Season onset","Bin","week","10","11",0.0175
"HHS Region 2","Season onset","Bin","week","11","12",0.0093
"HHS Region 2","Season onset","Bin","week","12","13",0.0324
"HHS Region 2","Season onset","Bin","week","13","14",0.0395
"HHS Region 2","Season onset","Bin","week","14","15",0.0843
"HHS Region 2","Season onset","Bin","week","15","16",0.1626
"HHS Region 2","Season onset","Bin","week","16","17",0.127
"HHS Region 2","Season onset","Bin","week","17","18",0.1527
"HHS Region 2","Season onset","Bin","week","18","19",0
"HHS Region 2","Season onset","Bin","week","19","20",0
"HHS Region 2","Season onset","Bin","week","20","21",0
"HHS Region 2","Season onset","Bin","week","none","none",0.2892
"HHS Region 2","Season peak week","Point","week",NA,NA,18
"HHS Region 2","Season peak week","Bin","week","40","41",0
"HHS Region 2","Season peak week","Bin","week","41","42",0
"HHS Region 2","Season peak week","Bin","week","42","43",0
"HHS Region 2","Season peak week","Bin","week","43","44",0
"HHS Region 2","Season peak week","Bin","week","44","45",0
"HHS Region 2","Season peak week","Bin","week","45","46",0
"HHS Region 2","Season peak week","Bin","week","46","47",0
"HHS Region 2","Season peak week","Bin","week","47","48",0
"HHS Region 2","Season peak week","Bin","week","48","49",9.07770515613652e-05
"HHS Region 2","Season peak week","Bin","week","49","50",0.000635439360929557
"HHS Region 2","Season peak week","Bin","week","50","51",0.00544662309368192
"HHS Region 2","Season peak week","Bin","week","51","52",0.0091684822076979
"HHS Region 2","Season peak week","Bin","week","52","53",0.000363108206245461
"HHS Region 2","Season peak week","Bin","week","1","2",0.00617283950617284
"HHS Region 2","Season peak week","Bin","week","2","3",0.00118010167029775
"HHS Region 2","Season peak week","Bin","week","3","4",0.00390341321713871
"HHS Region 2","Season peak week","Bin","week","4","5",0.00580973129992738
"HHS Region 2","Season peak week","Bin","week","5","6",0.0020878721859114
"HHS Region 2","Season peak week","Bin","week","6","7",0
"HHS Region 2","Season peak week","Bin","week","7","8",0.0041757443718228
"HHS Region 2","Season peak week","Bin","week","8","9",0.00907770515613653
"HHS Region 2","Season peak week","Bin","week","9","10",0.00354030501089325
"HHS Region 2","Season peak week","Bin","week","10","11",0.0118917937545389
"HHS Region 2","Season peak week","Bin","week","11","12",0.00245098039215686
"HHS Region 2","Season peak week","Bin","week","12","13",0.00944081336238199
"HHS Region 2","Season peak week","Bin","week","13","14",0.00780682643427741
"HHS Region 2","Season peak week","Bin","week","14","15",0.0109840232389252
"HHS Region 2","Season peak week","Bin","week","15","16",0.0490196078431373
"HHS Region 2","Season peak week","Bin","week","16","17",0.0429375453885258
"HHS Region 2","Season peak week","Bin","week","17","18",0.0573710965867829
"HHS Region 2","Season peak week","Bin","week","18","19",0.267519970951343
"HHS Region 2","Season peak week","Bin","week","19","20",0.362018881626725
"HHS Region 2","Season peak week","Bin","week","20","21",0.126906318082789
"HHS Region 2","Season peak percentage","Point","percent",NA,NA,5.4
"HHS Region 2","Season peak percentage","Bin","percent","0","0.1",0
"HHS Region 2","Season peak percentage","Bin","percent","0.1","0.2",0
"HHS Region 2","Season peak percentage","Bin","percent","0.2","0.3",0
"HHS Region 2","Season peak percentage","Bin","percent","0.3","0.4",0
"HHS Region 2","Season peak percentage","Bin","percent","0.4","0.5",0
"HHS Region 2","Season peak percentage","Bin","percent","0.5","0.6",0
"HHS Region 2","Season peak percentage","Bin","percent","0.6","0.7",0
"HHS Region 2","Season peak percentage","Bin","percent","0.7","0.8",0
"HHS Region 2","Season peak percentage","Bin","percent","0.8","0.9",0
"HHS Region 2","Season peak percentage","Bin","percent","0.9","1",0
"HHS Region 2","Season peak percentage","Bin","percent","1","1.1",0
"HHS Region 2","Season peak percentage","Bin","percent","1.1","1.2",0
"HHS Region 2","Season peak percentage","Bin","percent","1.2","1.3",0
"HHS Region 2","Season peak percentage","Bin","percent","1.3","1.4",0
"HHS Region 2","Season peak percentage","Bin","percent","1.4","1.5",1e-04
"HHS Region 2","Season peak percentage","Bin","percent","1.5","1.6",0
"HHS Region 2","Season peak percentage","Bin","percent","1.6","1.7",1e-04
"HHS Region 2","Season peak percentage","Bin","percent","1.7","1.8",8e-04
"HHS Region 2","Season peak percentage","Bin","percent","1.8","1.9",8e-04
"HHS Region 2","Season peak percentage","Bin","percent","1.9","2",0.0016
"HHS Region 2","Season peak percentage","Bin","percent","2","2.1",0.0018
"HHS Region 2","Season peak percentage","Bin","percent","2.1","2.2",0.003
"HHS Region 2","Season peak percentage","Bin","percent","2.2","2.3",0.0037
"HHS Region 2","Season peak percentage","Bin","percent","2.3","2.4",0.0054
"HHS Region 2","Season peak percentage","Bin","percent","2.4","2.5",0.0057
"HHS Region 2","Season peak percentage","Bin","percent","2.5","2.6",0.0084
"HHS Region 2","Season peak percentage","Bin","percent","2.6","2.7",0.0097
"HHS Region 2","Season peak percentage","Bin","percent","2.7","2.8",0.0114
"HHS Region 2","Season peak percentage","Bin","percent","2.8","2.9",0.0124
"HHS Region 2","Season peak percentage","Bin","percent","2.9","3",0.0135
"HHS Region 2","Season peak percentage","Bin","percent","3","3.1",0.0145
"HHS Region 2","Season peak percentage","Bin","percent","3.1","3.2",0.0176
"HHS Region 2","Season peak percentage","Bin","percent","3.2","3.3",0.014
"HHS Region 2","Season peak percentage","Bin","percent","3.3","3.4",0.0173
"HHS Region 2","Season peak percentage","Bin","percent","3.4","3.5",0.0208
"HHS Region 2","Season peak percentage","Bin","percent","3.5","3.6",0.0179
"HHS Region 2","Season peak percentage","Bin","percent","3.6","3.7",0.0193
"HHS Region 2","Season peak percentage","Bin","percent","3.7","3.8",0.0176
"HHS Region 2","Season peak percentage","Bin","percent","3.8","3.9",0.0191
"HHS Region 2","Season peak percentage","Bin","percent","3.9","4",0.0186
"HHS Region 2","Season peak percentage","Bin","percent","4","4.1",0.0187
"HHS Region 2","Season peak percentage","Bin","percent","4.1","4.2",0.0188
"HHS Region 2","Season peak percentage","Bin","percent","4.2","4.3",0.0196
"HHS Region 2","Season peak percentage","Bin","percent","4.3","4.4",0.0206
"HHS Region 2","Season peak percentage","Bin","percent","4.4","4.5",0.0198
"HHS Region 2","Season peak percentage","Bin","percent","4.5","4.6",0.0158
"HHS Region 2","Season peak percentage","Bin","percent","4.6","4.7",0.0184
"HHS Region 2","Season peak percentage","Bin","percent","4.7","4.8",0.017
"HHS Region 2","Season peak percentage","Bin","percent","4.8","4.9",0.0154
"HHS Region 2","Season peak percentage","Bin","percent","4.9","5",0.0171
"HHS Region 2","Season peak percentage","Bin","percent","5","5.1",0.0167
"HHS Region 2","Season peak percentage","Bin","percent","5.1","5.2",0.0144
"HHS Region 2","Season peak percentage","Bin","percent","5.2","5.3",0.0145
"HHS Region 2","Season peak percentage","Bin","percent","5.3","5.4",0.0153
"HHS Region 2","Season peak percentage","Bin","percent","5.4","5.5",0.0127
"HHS Region 2","Season peak percentage","Bin","percent","5.5","5.6",0.0141
"HHS Region 2","Season peak percentage","Bin","percent","5.6","5.7",0.0133
"HHS Region 2","Season peak percentage","Bin","percent","5.7","5.8",0.0134
"HHS Region 2","Season peak percentage","Bin","percent","5.8","5.9",0.0133
"HHS Region 2","Season peak percentage","Bin","percent","5.9","6",0.0105
"HHS Region 2","Season peak percentage","Bin","percent","6","6.1",0.0121
"HHS Region 2","Season peak percentage","Bin","percent","6.1","6.2",0.009
"HHS Region 2","Season peak percentage","Bin","percent","6.2","6.3",0.0131
"HHS Region 2","Season peak percentage","Bin","percent","6.3","6.4",0.01
"HHS Region 2","Season peak percentage","Bin","percent","6.4","6.5",0.0112
"HHS Region 2","Season peak percentage","Bin","percent","6.5","6.6",0.0116
"HHS Region 2","Season peak percentage","Bin","percent","6.6","6.7",0.0094
"HHS Region 2","Season peak percentage","Bin","percent","6.7","6.8",0.0108
"HHS Region 2","Season peak percentage","Bin","percent","6.8","6.9",0.0084
"HHS Region 2","Season peak percentage","Bin","percent","6.9","7",0.0086
"HHS Region 2","Season peak percentage","Bin","percent","7","7.1",0.0093
"HHS Region 2","Season peak percentage","Bin","percent","7.1","7.2",0.0076
"HHS Region 2","Season peak percentage","Bin","percent","7.2","7.3",0.0078
"HHS Region 2","Season peak percentage","Bin","percent","7.3","7.4",0.0076
"HHS Region 2","Season peak percentage","Bin","percent","7.4","7.5",0.0076
"HHS Region 2","Season peak percentage","Bin","percent","7.5","7.6",0.0081
"HHS Region 2","Season peak percentage","Bin","percent","7.6","7.7",0.0078
"HHS Region 2","Season peak percentage","Bin","percent","7.7","7.8",0.0079
"HHS Region 2","Season peak percentage","Bin","percent","7.8","7.9",0.0059
"HHS Region 2","Season peak percentage","Bin","percent","7.9","8",0.0065
"HHS Region 2","Season peak percentage","Bin","percent","8","8.1",0.0069
"HHS Region 2","Season peak percentage","Bin","percent","8.1","8.2",0.0062
"HHS Region 2","Season peak percentage","Bin","percent","8.2","8.3",0.0047
"HHS Region 2","Season peak percentage","Bin","percent","8.3","8.4",0.0051
"HHS Region 2","Season peak percentage","Bin","percent","8.4","8.5",0.0051
"HHS Region 2","Season peak percentage","Bin","percent","8.5","8.6",0.0051
"HHS Region 2","Season peak percentage","Bin","percent","8.6","8.7",0.0052
"HHS Region 2","Season peak percentage","Bin","percent","8.7","8.8",0.0048
"HHS Region 2","Season peak percentage","Bin","percent","8.8","8.9",0.0056
"HHS Region 2","Season peak percentage","Bin","percent","8.9","9",0.005
"HHS Region 2","Season peak percentage","Bin","percent","9","9.1",0.0045
"HHS Region 2","Season peak percentage","Bin","percent","9.1","9.2",0.0053
"HHS Region 2","Season peak percentage","Bin","percent","9.2","9.3",0.0048
"HHS Region 2","Season peak percentage","Bin","percent","9.3","9.4",0.0051
"HHS Region 2","Season peak percentage","Bin","percent","9.4","9.5",0.0044
"HHS Region 2","Season peak percentage","Bin","percent","9.5","9.6",0.0031
"HHS Region 2","Season peak percentage","Bin","percent","9.6","9.7",0.0036
"HHS Region 2","Season peak percentage","Bin","percent","9.7","9.8",0.0041
"HHS Region 2","Season peak percentage","Bin","percent","9.8","9.9",0.0035
"HHS Region 2","Season peak percentage","Bin","percent","9.9","10",0.0047
"HHS Region 2","Season peak percentage","Bin","percent","10","10.1",0.0033
"HHS Region 2","Season peak percentage","Bin","percent","10.1","10.2",0.0042
"HHS Region 2","Season peak percentage","Bin","percent","10.2","10.3",0.0035
"HHS Region 2","Season peak percentage","Bin","percent","10.3","10.4",0.0019
"HHS Region 2","Season peak percentage","Bin","percent","10.4","10.5",0.0037
"HHS Region 2","Season peak percentage","Bin","percent","10.5","10.6",0.0027
"HHS Region 2","Season peak percentage","Bin","percent","10.6","10.7",0.0025
"HHS Region 2","Season peak percentage","Bin","percent","10.7","10.8",0.0023
"HHS Region 2","Season peak percentage","Bin","percent","10.8","10.9",0.0033
"HHS Region 2","Season peak percentage","Bin","percent","10.9","11",0.0023
"HHS Region 2","Season peak percentage","Bin","percent","11","11.1",0.002
"HHS Region 2","Season peak percentage","Bin","percent","11.1","11.2",0.0018
"HHS Region 2","Season peak percentage","Bin","percent","11.2","11.3",0.0025
"HHS Region 2","Season peak percentage","Bin","percent","11.3","11.4",0.0026
"HHS Region 2","Season peak percentage","Bin","percent","11.4","11.5",0.0025
"HHS Region 2","Season peak percentage","Bin","percent","11.5","11.6",0.0024
"HHS Region 2","Season peak percentage","Bin","percent","11.6","11.7",0.0016
"HHS Region 2","Season peak percentage","Bin","percent","11.7","11.8",0.0019
"HHS Region 2","Season peak percentage","Bin","percent","11.8","11.9",0.0016
"HHS Region 2","Season peak percentage","Bin","percent","11.9","12",0.0017
"HHS Region 2","Season peak percentage","Bin","percent","12","12.1",0.0018
"HHS Region 2","Season peak percentage","Bin","percent","12.1","12.2",0.0015
"HHS Region 2","Season peak percentage","Bin","percent","12.2","12.3",0.0011
"HHS Region 2","Season peak percentage","Bin","percent","12.3","12.4",0.0019
"HHS Region 2","Season peak percentage","Bin","percent","12.4","12.5",0.0011
"HHS Region 2","Season peak percentage","Bin","percent","12.5","12.6",0.0012
"HHS Region 2","Season peak percentage","Bin","percent","12.6","12.7",0.0023
"HHS Region 2","Season peak percentage","Bin","percent","12.7","12.8",0.0014
"HHS Region 2","Season peak percentage","Bin","percent","12.8","12.9",0.0018
"HHS Region 2","Season peak percentage","Bin","percent","12.9","13",0.0012
"HHS Region 2","Season peak percentage","Bin","percent","13","100",0.0828
"HHS Region 2","1 wk ahead","Point","percent",NA,NA,1.37763739442132
"HHS Region 2","1 wk ahead","Bin","percent","0","0.1",0
"HHS Region 2","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 2","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 2","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 2","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 2","1 wk ahead","Bin","percent","0.5","0.6",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","0.6","0.7",3e-04
"HHS Region 2","1 wk ahead","Bin","percent","0.7","0.8",0.004
"HHS Region 2","1 wk ahead","Bin","percent","0.8","0.9",0.0116
"HHS Region 2","1 wk ahead","Bin","percent","0.9","1",0.0333
"HHS Region 2","1 wk ahead","Bin","percent","1","1.1",0.0694
"HHS Region 2","1 wk ahead","Bin","percent","1.1","1.2",0.1015
"HHS Region 2","1 wk ahead","Bin","percent","1.2","1.3",0.1189
"HHS Region 2","1 wk ahead","Bin","percent","1.3","1.4",0.1287
"HHS Region 2","1 wk ahead","Bin","percent","1.4","1.5",0.1177
"HHS Region 2","1 wk ahead","Bin","percent","1.5","1.6",0.1045
"HHS Region 2","1 wk ahead","Bin","percent","1.6","1.7",0.0893
"HHS Region 2","1 wk ahead","Bin","percent","1.7","1.8",0.0678
"HHS Region 2","1 wk ahead","Bin","percent","1.8","1.9",0.0477
"HHS Region 2","1 wk ahead","Bin","percent","1.9","2",0.0335
"HHS Region 2","1 wk ahead","Bin","percent","2","2.1",0.0247
"HHS Region 2","1 wk ahead","Bin","percent","2.1","2.2",0.0159
"HHS Region 2","1 wk ahead","Bin","percent","2.2","2.3",0.0109
"HHS Region 2","1 wk ahead","Bin","percent","2.3","2.4",0.0074
"HHS Region 2","1 wk ahead","Bin","percent","2.4","2.5",0.0054
"HHS Region 2","1 wk ahead","Bin","percent","2.5","2.6",0.0026
"HHS Region 2","1 wk ahead","Bin","percent","2.6","2.7",0.002
"HHS Region 2","1 wk ahead","Bin","percent","2.7","2.8",0.001
"HHS Region 2","1 wk ahead","Bin","percent","2.8","2.9",7e-04
"HHS Region 2","1 wk ahead","Bin","percent","2.9","3",3e-04
"HHS Region 2","1 wk ahead","Bin","percent","3","3.1",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","3.1","3.2",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","3.2","3.3",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","3.3","3.4",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","3.4","3.5",0
"HHS Region 2","1 wk ahead","Bin","percent","3.5","3.6",0
"HHS Region 2","1 wk ahead","Bin","percent","3.6","3.7",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","3.7","3.8",0
"HHS Region 2","1 wk ahead","Bin","percent","3.8","3.9",0
"HHS Region 2","1 wk ahead","Bin","percent","3.9","4",0
"HHS Region 2","1 wk ahead","Bin","percent","4","4.1",0
"HHS Region 2","1 wk ahead","Bin","percent","4.1","4.2",0
"HHS Region 2","1 wk ahead","Bin","percent","4.2","4.3",0
"HHS Region 2","1 wk ahead","Bin","percent","4.3","4.4",0
"HHS Region 2","1 wk ahead","Bin","percent","4.4","4.5",0
"HHS Region 2","1 wk ahead","Bin","percent","4.5","4.6",0
"HHS Region 2","1 wk ahead","Bin","percent","4.6","4.7",0
"HHS Region 2","1 wk ahead","Bin","percent","4.7","4.8",0
"HHS Region 2","1 wk ahead","Bin","percent","4.8","4.9",0
"HHS Region 2","1 wk ahead","Bin","percent","4.9","5",0
"HHS Region 2","1 wk ahead","Bin","percent","5","5.1",0
"HHS Region 2","1 wk ahead","Bin","percent","5.1","5.2",0
"HHS Region 2","1 wk ahead","Bin","percent","5.2","5.3",0
"HHS Region 2","1 wk ahead","Bin","percent","5.3","5.4",0
"HHS Region 2","1 wk ahead","Bin","percent","5.4","5.5",0
"HHS Region 2","1 wk ahead","Bin","percent","5.5","5.6",0
"HHS Region 2","1 wk ahead","Bin","percent","5.6","5.7",0
"HHS Region 2","1 wk ahead","Bin","percent","5.7","5.8",0
"HHS Region 2","1 wk ahead","Bin","percent","5.8","5.9",0
"HHS Region 2","1 wk ahead","Bin","percent","5.9","6",0
"HHS Region 2","1 wk ahead","Bin","percent","6","6.1",0
"HHS Region 2","1 wk ahead","Bin","percent","6.1","6.2",0
"HHS Region 2","1 wk ahead","Bin","percent","6.2","6.3",0
"HHS Region 2","1 wk ahead","Bin","percent","6.3","6.4",0
"HHS Region 2","1 wk ahead","Bin","percent","6.4","6.5",0
"HHS Region 2","1 wk ahead","Bin","percent","6.5","6.6",0
"HHS Region 2","1 wk ahead","Bin","percent","6.6","6.7",0
"HHS Region 2","1 wk ahead","Bin","percent","6.7","6.8",0
"HHS Region 2","1 wk ahead","Bin","percent","6.8","6.9",0
"HHS Region 2","1 wk ahead","Bin","percent","6.9","7",0
"HHS Region 2","1 wk ahead","Bin","percent","7","7.1",0
"HHS Region 2","1 wk ahead","Bin","percent","7.1","7.2",0
"HHS Region 2","1 wk ahead","Bin","percent","7.2","7.3",0
"HHS Region 2","1 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 2","1 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 2","1 wk ahead","Bin","percent","7.5","7.6",0
"HHS Region 2","1 wk ahead","Bin","percent","7.6","7.7",0
"HHS Region 2","1 wk ahead","Bin","percent","7.7","7.8",0
"HHS Region 2","1 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 2","1 wk ahead","Bin","percent","7.9","8",0
"HHS Region 2","1 wk ahead","Bin","percent","8","8.1",0
"HHS Region 2","1 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 2","1 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 2","1 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 2","1 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 2","1 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 2","1 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 2","1 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 2","1 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 2","1 wk ahead","Bin","percent","8.9","9",0
"HHS Region 2","1 wk ahead","Bin","percent","9","9.1",0
"HHS Region 2","1 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 2","1 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 2","1 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 2","1 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 2","1 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 2","1 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 2","1 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 2","1 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 2","1 wk ahead","Bin","percent","9.9","10",0
"HHS Region 2","1 wk ahead","Bin","percent","10","10.1",0
"HHS Region 2","1 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 2","1 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 2","1 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 2","1 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 2","1 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 2","1 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 2","1 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 2","1 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 2","1 wk ahead","Bin","percent","10.9","11",0
"HHS Region 2","1 wk ahead","Bin","percent","11","11.1",0
"HHS Region 2","1 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 2","1 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 2","1 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 2","1 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 2","1 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 2","1 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 2","1 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 2","1 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 2","1 wk ahead","Bin","percent","11.9","12",0
"HHS Region 2","1 wk ahead","Bin","percent","12","12.1",0
"HHS Region 2","1 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 2","1 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 2","1 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 2","1 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 2","1 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 2","1 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 2","1 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 2","1 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 2","1 wk ahead","Bin","percent","12.9","13",0
"HHS Region 2","1 wk ahead","Bin","percent","13","100",0
"HHS Region 2","2 wk ahead","Point","percent",NA,NA,1.39077626705833
"HHS Region 2","2 wk ahead","Bin","percent","0","0.1",0
"HHS Region 2","2 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 2","2 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 2","2 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 2","2 wk ahead","Bin","percent","0.4","0.5",4e-04
"HHS Region 2","2 wk ahead","Bin","percent","0.5","0.6",0.0039
"HHS Region 2","2 wk ahead","Bin","percent","0.6","0.7",0.0102
"HHS Region 2","2 wk ahead","Bin","percent","0.7","0.8",0.0221
"HHS Region 2","2 wk ahead","Bin","percent","0.8","0.9",0.0397
"HHS Region 2","2 wk ahead","Bin","percent","0.9","1",0.0572
"HHS Region 2","2 wk ahead","Bin","percent","1","1.1",0.0726
"HHS Region 2","2 wk ahead","Bin","percent","1.1","1.2",0.0821
"HHS Region 2","2 wk ahead","Bin","percent","1.2","1.3",0.0876
"HHS Region 2","2 wk ahead","Bin","percent","1.3","1.4",0.0884
"HHS Region 2","2 wk ahead","Bin","percent","1.4","1.5",0.0806
"HHS Region 2","2 wk ahead","Bin","percent","1.5","1.6",0.0703
"HHS Region 2","2 wk ahead","Bin","percent","1.6","1.7",0.0649
"HHS Region 2","2 wk ahead","Bin","percent","1.7","1.8",0.0569
"HHS Region 2","2 wk ahead","Bin","percent","1.8","1.9",0.0473
"HHS Region 2","2 wk ahead","Bin","percent","1.9","2",0.0412
"HHS Region 2","2 wk ahead","Bin","percent","2","2.1",0.0328
"HHS Region 2","2 wk ahead","Bin","percent","2.1","2.2",0.0253
"HHS Region 2","2 wk ahead","Bin","percent","2.2","2.3",0.0222
"HHS Region 2","2 wk ahead","Bin","percent","2.3","2.4",0.0191
"HHS Region 2","2 wk ahead","Bin","percent","2.4","2.5",0.0145
"HHS Region 2","2 wk ahead","Bin","percent","2.5","2.6",0.0138
"HHS Region 2","2 wk ahead","Bin","percent","2.6","2.7",0.0106
"HHS Region 2","2 wk ahead","Bin","percent","2.7","2.8",0.0049
"HHS Region 2","2 wk ahead","Bin","percent","2.8","2.9",0.0064
"HHS Region 2","2 wk ahead","Bin","percent","2.9","3",0.0039
"HHS Region 2","2 wk ahead","Bin","percent","3","3.1",0.0043
"HHS Region 2","2 wk ahead","Bin","percent","3.1","3.2",0.0029
"HHS Region 2","2 wk ahead","Bin","percent","3.2","3.3",0.0019
"HHS Region 2","2 wk ahead","Bin","percent","3.3","3.4",0.0021
"HHS Region 2","2 wk ahead","Bin","percent","3.4","3.5",0.0018
"HHS Region 2","2 wk ahead","Bin","percent","3.5","3.6",0.0018
"HHS Region 2","2 wk ahead","Bin","percent","3.6","3.7",0.0014
"HHS Region 2","2 wk ahead","Bin","percent","3.7","3.8",4e-04
"HHS Region 2","2 wk ahead","Bin","percent","3.8","3.9",8e-04
"HHS Region 2","2 wk ahead","Bin","percent","3.9","4",4e-04
"HHS Region 2","2 wk ahead","Bin","percent","4","4.1",3e-04
"HHS Region 2","2 wk ahead","Bin","percent","4.1","4.2",5e-04
"HHS Region 2","2 wk ahead","Bin","percent","4.2","4.3",4e-04
"HHS Region 2","2 wk ahead","Bin","percent","4.3","4.4",2e-04
"HHS Region 2","2 wk ahead","Bin","percent","4.4","4.5",4e-04
"HHS Region 2","2 wk ahead","Bin","percent","4.5","4.6",0
"HHS Region 2","2 wk ahead","Bin","percent","4.6","4.7",9.99999999999999e-05
"HHS Region 2","2 wk ahead","Bin","percent","4.7","4.8",2e-04
"HHS Region 2","2 wk ahead","Bin","percent","4.8","4.9",9.99999999999999e-05
"HHS Region 2","2 wk ahead","Bin","percent","4.9","5",9.99999999999999e-05
"HHS Region 2","2 wk ahead","Bin","percent","5","5.1",0
"HHS Region 2","2 wk ahead","Bin","percent","5.1","5.2",3e-04
"HHS Region 2","2 wk ahead","Bin","percent","5.2","5.3",2e-04
"HHS Region 2","2 wk ahead","Bin","percent","5.3","5.4",2e-04
"HHS Region 2","2 wk ahead","Bin","percent","5.4","5.5",9.99999999999999e-05
"HHS Region 2","2 wk ahead","Bin","percent","5.5","5.6",0
"HHS Region 2","2 wk ahead","Bin","percent","5.6","5.7",9.99999999999999e-05
"HHS Region 2","2 wk ahead","Bin","percent","5.7","5.8",0
"HHS Region 2","2 wk ahead","Bin","percent","5.8","5.9",0
"HHS Region 2","2 wk ahead","Bin","percent","5.9","6",0
"HHS Region 2","2 wk ahead","Bin","percent","6","6.1",0
"HHS Region 2","2 wk ahead","Bin","percent","6.1","6.2",0
"HHS Region 2","2 wk ahead","Bin","percent","6.2","6.3",0
"HHS Region 2","2 wk ahead","Bin","percent","6.3","6.4",9.99999999999999e-05
"HHS Region 2","2 wk ahead","Bin","percent","6.4","6.5",0
"HHS Region 2","2 wk ahead","Bin","percent","6.5","6.6",0
"HHS Region 2","2 wk ahead","Bin","percent","6.6","6.7",0
"HHS Region 2","2 wk ahead","Bin","percent","6.7","6.8",0
"HHS Region 2","2 wk ahead","Bin","percent","6.8","6.9",0
"HHS Region 2","2 wk ahead","Bin","percent","6.9","7",0
"HHS Region 2","2 wk ahead","Bin","percent","7","7.1",0
"HHS Region 2","2 wk ahead","Bin","percent","7.1","7.2",0
"HHS Region 2","2 wk ahead","Bin","percent","7.2","7.3",0
"HHS Region 2","2 wk ahead","Bin","percent","7.3","7.4",0
